"Tên Món","Thời gian","Số người","Độ khó","Nguyên Liệu","Cách Nấu"
Bánh đa nem miền Bắc,1 giờ 00 phút,4 người,Dễ,"Thịt sấn vai xay-500g | Hành tây-1 củ | Củ đậu-1 củ | Cà rốt-1 củ | Hành tươi, rau mùi, mộc nhĩ, nấm hương- | Trứng gà-1 quả | Miến khô-30g | Gia vị, hạt tiêu, bánh đa nem-","1. Sơ chế nguyên liệu | Nấm hương và nấm mèo được ngâm trong nước ấm trong 15 phút để làm mềm. Sau đó, rửa sạch, cắt bỏ chân và thái nhuyễn. | Thịt nạc được chà muối, rửa sạch, sau đó băm nhỏ hoặc xay nhuyễn và đặt vào tô. | Tôm tươi được bóc vỏ, rửa sạch, lấy chỉ đen và băm nhỏ. | Miến dong ngâm trong nước ấm trong 15 phút để làm mềm. Sau đó, vớt ra và cắt thành các đoạn khoảng 5cm. | Trứng gà được đập vào chén và đánh tan. Hành tím và tỏi được bóc vỏ, băm nhỏ riêng. | Ớt được băm nhỏ. | Cà rốt được gọt vỏ, rửa sạch và bào thành sợi nhỏ. Hành tây được bóc vỏ, rửa sạch và thái thành hạt lựu. | Hành lá và ngò rí được rửa sạch, bỏ gốc và thái nhỏ. | 2. Chuẩn bị nhân bánh đa nem | Trong một thau, hòa quyện thịt băm, tôm, miến, nấm hương, nấm mèo, cà rốt, hành tây, hành lá, ngò rí, và trứng đánh tan. Tiếp theo, thêm vào 1 thìa cà phê muối, 2 thìa cà phê hạt nêm, 1 thìa cà phê nước mắm, 1/2 thìa cà phê bột ngọt, 1 thìa canh hành tím băm, và một ít tiêu xay. Khuấy đều cho tất cả các thành phần hòa quyện. Sau đó, đặt phần nhân trong tủ lạnh và ướp khoảng 30 phút. | 3. Gói bánh đa nem | Trải bánh đa nem ra mâm hoặc thớt sạch, sau đó thoa lên một ít nước để làm cho bánh mềm hơn và tránh việc bị giòn gãy khi cuốn. Tiếp theo, đặt một lượng nhân vừa đủ vào trung tâm của bánh. Gấp 2 mép của bánh lên và cuộn tròn chặt bằng tay. Lặp lại quá trình này cho đến khi hết nhân bánh. | 4. Chiên bánh | Đặt một chảo lên bếp và đun nóng, sau đó đổ vào chảo 500ml dầu ăn. Đợi cho dầu nóng đến mức già, sau đó thả nhẹ bánh đa nem vào chảo và chiên trên lửa nhỏ. Điều này giúp đảm bảo nhân bên trong bánh chín đều. Khi bánh có màu vàng và trở nên giòn hết các mặt, hãy vớt chúng ra khay có lót giấy thấm dầu. | Chúc các bạn ngon miệng nhé!"
Tôm rang thịt ba chỉ giản dị mà ngon,45 phút,4 người,Dễ,"Thit ba chỉ-200g | Tôm to để nguyên vỏ-200g | Hành khô nhỏ-1 củ | Mắm, tiêu, đường, muối-","Tôm rửa sạch, cắt bỏ râu, để ráo, ướp với ½ muỗng cafe muối, 1 muỗng cafe nước mắm, 1 muỗng canh đường vàng, ½ muỗng cafe tỏi băm, 1 muỗng cafe dầu màu điều (nếu thích màu cam đẹp). | Thịt ba chỉ cắt nhỏ, ướp với  ½ muỗng cafe muối, 1 muỗng cafe nước mắm, 1 muỗng canh đường vàng, ½ muỗng cafe tỏi băm. Ít dầu màu điều nếu thích. | Ướp tôm, thịt 15 phút cho thấm. | Sau đó cho vào nồi, cho một chút mắm (chừng 1 thìa café) rồi bật bếp để lửa nhỏ và mở vung để thịt đun xém 2 mặt. | Sau khi thịt đã được đun xém cạnh thì cho hành khô vào đun chừng 1 phút cho hành thấm và thơm. | Tiếp đến cho tôm vào nêm thêm gia vị, tiêu, mắm, muối vừa ăn. Đảo tôm một lúc rồi mới cho khoảng 1 – 2 thìa đường vào rồi đậy vung đun chừng 5 phút cho tôm chín vàng là được. Nước trong nồi hơi cạn và sền sệt là tắt bếp, nêm nếm lại là xong rồi."
Chè trôi nước lá dứa nhân đậu xanh ấm nóng,60 phút,4 người,Dễ,Bột nếp-300g | Nước đang sôi-200ml | Nước ép lá dứa-50ml | Muối-1/3 muỗng cà phê | Phần nhân :-Đậu xanh không vỏ-150g | Đường-100g | Muối-1/4 muỗng cà phê | Nước cốt dừa-50ml | Dừa non bào sợi-1/3 chén,"Nguyên liệu cần có: | Sơ chế : | Bước 1 : | - Nấu nước cốt dừa: Cho 200 ml vào nồi + 100 ml nước lạnh + 1/5 muỗng cà phê muối + 30 gr đường + 2 lá dứa bó lại bắc lên bếp nấu sôi với lửa nhỏ. | Bước 2 : | - Pha 1 muỗng cà phê bột năng + 2 muỗng cà phê nước lạnh, hòa tan, đổ vào nồi nước cốt dừa đang sôi, vừa đổ vừa khuấy cho nước cốt dừa không vón cục nhé các bạn. Làm xong rồi tắt bếp. | Nấu nước đường: | Gừng cho vào nồi 1 lít nước lạnh, 150 gr đường trắng + 100 gr đường nâu + 1 ít gừng thái lát mỏng nấu lửa vừa cho đường tan. Thời gian khoảng 20 phút là tắt bếp. | Phần nhồi bột: | Bước 1:Cho bột nếp cho vào 1 cái tô to, sau đó cho nước nóng từ từ vào nhồi thật kĩ, tiếp theo cho nước lá dứa vào tiếp tục nhồi cho đến khi nào bột mịn và không dính tay là được. Lấy màng bọc thực phẩm bọc bột lại để bột nghỉ 30 phút. Trong khi chờ bột nở mình làm nhân. | Bước 2:Đậu xanh ngâm 4-5 tiếng vo sạch hấp chín. | Bước 3:Sau đó cho đậu xanh + đường vào máy xay nhuyễn. Cho đậu xanh xay nhuyễn vào chảo không dính bắc lên bếp sên với lửa nhỏ khi đậu xanh hơi sánh cho nước cốt dừa vào sên vời lửa nhỏ. | Bước 4:Tiếp tục dùng muôi khuấy đều cho đậu xanh quyện lại 1 khối không dính chảo thì tắt bếp. Bây giờ bạn hãy cho dừa non vào trộn đều và vo viên tròn. To nhỏ tùy ý. | Bước 5:Lấy bột ra nhồi thêm 5 phút, sau đó chia bột ra từng phần nhỏ, lớn hơn phần nhân 1 chút | Bước 6:Lấy tay đè dẹp viên bột, cho nhân vào giữa và vo tròn lại. | Bước 7:Nấu 1 nồi nước sôi cùng xíu muối. Sau đó cho viên bột vào luộc. | -Khi viên bột nổi lên, bạn luộc thêm vài phút nữa rồi vớt viên bột ra cho ngay vào âu nước lạnh. | -Bây giờ bạn vớt viên bôt từ âu nước lạnh cho vào nồi nước đường-gừng. Nấu sôi nước đường lại là xong. | Trình bày:Chochè trôi nướcra từng chén nhỏ, chan nước cốt dừa lên rắc 1 chút mè rang vàng và dừa non bào sợi là mời người thân bạn bè thưởng thức."
"Lẩu nướng cuối tuần tại nhà siêu rẻ, siêu ngon",60 phút,4 người,Dễ,"Thịt bò-200g | Thịt ba chỉ-500g | Sườn thăn-300g | Cá quả-0,7kg | Tôm-500g | Lòng non hoặc dạ dày-300g | Nấm sò, nấm kim châm- | Các loại củ quả nướng kèm: bí đỏ, hành tây, cà chua, đậu bắp, ngô- | Rau thơm, dưa chuột để ăn kèm- | Bánh mỳ- | Một hộp bơ Tường An, một bát con dầu ăn- | Gia vị: xì dầu (nước tương), gia vị chanh ớt- | Chảo gang, bếp cồn hoặc bếp ga. Bạn có thể dùng vỉ nướng, nướng trên bếp than hoa.-","- Thịt ba chỉ, lợn mán làm sạch, cho vào ngăn đá khoảng 20 phút lấy ra thái lát mỏng vừa phải chừng 3×5 cm đem ướp với sốt BBQ, ketchup (sốt cà chua), hành, tỏi khô và sả băm nhỏ cùng với một chút đường. Bạn có thể thay sốt cà chua và BBQ bằng nước hàng và mật ong. | - Sườn thăn chặt miếng ngắn từng dẻ một, ướp tương tự như sườn. Có thể hấp sườn cho chín rồi mới ướp để khi nướng nhanh chín hơn. – Cá làm sạch, lọc phi lê ướp với gừng băm nhỏ cùng gia vị, cuốn vào một nhánh nấm kim châm cho đẹp mắt và khi nướng cũng sẽ giòn và ngon hơn. | - Lòng non rửa sạch bằng nước muối và giấm, ken bớt ruột cho sạch rồi thái miếng dài vừa phải, ướp với gừng băm nhỏ cùng một chút gia vị, dầu hào. | - Thịt bò mua phần thịt vai hoặc mông mềm, thái to bản, dùng búa đập thịt dần qua cho mềm rồi ướp với dầu hào, chút đường, mật ong cùng với tỏi, sả băm nhỏ. Các nguyên liệu trên nên ướp tối thiểu một tiếng trước khi ăn, lâu hơn có thể ướp và bảo quản trong ngăm mát tủ lạnh từ 4 đến 8 tiếng, như vậy các nguyên liệu sẽ ngấm gia vị và mềm hơn. | - Tôm cắt bỏ râu, rửa sạch để ráo nước | - Các loại củ quả gọt vỏ, rửa sạch thái miếng mỏng | - Nấm cắt bỏ gốc, rửa bằng nướng muối loãng vớt ra để ráo. | - Bày tất cả các nguyên liệu trên ra đĩa. | - Đặt chảo gang lên bếp cồn đun thật nóng, cho vào một thìa dầu ăn, một muỗng bơ nhỏ đun cho nóng chảy. Lần lượt cho các nguyên liệu vào phủ kín mặt chảo để nướng, lật qua lật lại khoảng vài ba phút là đã có mẻ nướng thơm nức ăn kèm với dưa chuột chẻ và bánh mỳ nướng giòn. Gia vị để chấm có thể là nước tương, gia vị chanh ớt hoặc sốt mayonnaise, ketchup. | - Cầu kỳ hơn các bạn có thể làm thêm sốt me để chấm cũng rất ngon. | Thịt ba chỉ thái miếng mỏng, ướp cùng gia vị. | Phi lê cá thái mỏng, cuộn với nấm kim châm, buộc bằng hành lá đã chần sơ. | Thịt lợn mán nướng cũng rất thơm. | Cách bày biện cũng rất quan trọng, sẽ làm món ăn nhìn ngon mắt hơn. | Khi ăn, bạn cho dầu ăn, bơ vào chảo gang rồi cho các nguyên liệu vào nướng chín, gắp ra ăn nóng, chấm kèm gia vị tùy thích. | Chúc các bạn ngon miệng nhé!"
Gà xốt chua ngọt cả nhà khen ngon,60 phút,4 người,Dễ,Gà không xương-450 gr | Muối và tiêu xay-gia vị | Bột ngô-120 gr | Trứng gà-2 quả | Dầu ăn-60 ml | Đường-180 ml | Dấm-120 ml | Xốt cà-60 ml | Xốt tương-15 ml | Bột tỏi-gia vị,"Bước 1:Rửa sạch rồi cắt gà thành nhiều miếng nhỏ khoảng 1-1.5cm. Sau đó, bạn cho gà vào bát lớn, thêm muối, tiêu xay vào, trộn đều và để ướp khoảng 15 phút. | Bước 2:Tiếp theo, bạn cho bột ngô và trộn đều để gà được áo khắp bởi bột. | Bước 3:Pha nước xốt chua ngọt: bạn cho tất cả nguyên liệu đã chuẩn bị cho phần xốt vào bát, khuấy đều để hỗn hợp hòa tan hoàn toàn. | Bước 4:Chuẩn bị một chảo dầu nóng, cho gà vào chiên nhanh đến khi thấy gà chuyển màu vàng nâu thì bạn vớt gà ra. | Bước 5:Làm nóng lò nướng trước ở nhiệt độ 160 độ C, quết một lớp dầu ăn mỏng lên khay nướng, cho gà và rưới xốt chua ngọt đều lên khắp bề mặt các miếng gà. | Nướng khoảng 55 phút, trong lúc nướng, cứ cách 15 phút bạn lấy gà ra đảo đều một lần. | - Cuối cùng, bạn chỉ việc chuẩn bị một tô cơm nóng, bày gà lên rồi rắc ít vừng rang và hành lá lên trên, dùng kèm thêm ít xà lách để bổ sung vitamin. Gà xốt chua ngọt theo kiểu này sẽ cho từng miếng gà mềm thơm cùng nước sốt chua chua ngọt ngọt thật hấp dẫn. | Chúc bạn thành công và ngon miệng nhé!"
Sườn chiên tỏi ớt thơm ngon cực dễ –  Sổ Tay Nấu Ăn,50 phút,4 người,Dễ,"Sườn lợn-1/2 kg | Tỏi-1 củ | Hành lá, ớt, tiêu- | Nước mắm-1 muỗng canh | Bột nêm-1/32muỗng cà phê | Muối-1/3 muỗng cà phê | Đường-1/2muỗng cà phê | Bột bắp hay bột năng-nguyên liệu","Bước 1 : | - Tỏi rửa sạch bóc bỏ rồi băm nhỏ, hành lá các bạn nhặt rễ rửa sạch rồi thái nhỏ, ớt rửa sạch băm nhỏ (có thể để hạt hoặc bỏ hạt tùy theo khẩu vị ăn cay của gia đình bạn). | - Sườn rửa sạch để ráo nước rồi chặt miếng dài khoảng chừng 5cm sau đó cho hỗn hợp gia vị gồm mắm + tiêu + đường + bột nêm trộn đều, để 15 phút cho thịt thấm gia vị. | Bước 2 : | - Các bạn lăn đều sườn trong bột năng hoặc bột bắp để miếng sườn khi chiên vàng giòn đều mà lại không bị bắn dầu. | Bước 3 : | - Đặt chảo lên bếp cho dầu vào chảo chờ dầu nóng thì bạn cho sườn vào chiên sơ tới khi có màu vàng nhạt thì gắp sườn ra đĩa. | - Tiếp tục đặt một chiếc chảo khác lên bếp chờ dầu ăn nóng thì bạn trút tỏi và hành lá vào phi thơm, tiếp tục trút sườn ở đĩa vào chảo đảo đều, đảo nhanh tay và để lửa vừa, nêm nếm lại gia vị cho vừa ăn. Bạn đảo khoảng 3 phút thì tắt bếp. | Bước 4 : | - Trút sườn ra đĩa và trang trí tùy thích. | Hi vọng với công thức hướng dẫn nấu ăn đơn giản này của chúng tôi sẽ giúp các bạn tạo nên một món ăn mới thú vị cho gia đình thân yêu."
Tôm tẩm bột rán sốt chua ngọt hấp dẫn không thể chối từ,45 phút,4 người,Dễ,"Tôm tươi loại to-270 gr | Bột khoai tây-100 gr | Lòng trắng trứng gà-1 quả | Nước lọc-140 ml | Dầu ăn-40 ml | Sốt cà chua-60 ml | Bột ngô-10 gr | Nước-20 ml | Gừng, tỏi, hành khô băm-gia vị | Đường-30 gr | Rượu trắng-10 ml | Tương ớt-10 gr | Nước-100 ml","Bước 1:Hòa bột khoai tây với nước lọc rồi để vào ngăn mát của tủ lạnh khoảng 2 tiếng. Nếu có thời gian thì các bạn nên để hỗn hợp này qua đêm nhé! | Bước 2:Rửa sạch tôm, bóc bỏ vỏ và đầu rồi xẻ dọc lưng con tôm để lấy đường chỉ ra này. | Bước 3:Lấy bột ra khỏi tủ lạnh, chắt bỏ phần nước ở trên đi rồi trộn đều bột với lòng trắng trứng và dầu ăn. Đây chính là bí quyết giúp cho lớp vỏ ngoài của tôm vẫn giòn tan sau khi bỏ vào sốt đấy các bạn ạ. | Bước 4:Sau đó, cho tôm vào bột ở trên và trộn đều nghen. | Bước 5:Đun cho dầu sôi rùi thả tôm vào rán ở lửa to đến khi tôm chín vàng. | Bước 6:Trộn đều sốt cà chua, tương ớt, rượu trắng, nước, đường và một chút muối lại với nhau. | Bước 7:Phi thơm gừng, tỏi rồi đổ hỗn hợp sốt ở trên vào đun trong khoảng 1'. | Bước 8:Sau đó, các bạn cho tôm vào đảo nhanh khoảng 2' thì đổ nốt hỗn hợp bột ngô với nước vào đun thêm 1' nữa thì cho hành vào và tắt bếp."
Cháo nấm thịt bò viên đủ chất,60 phút,4 người,Dễ,Nấm đông cô-150 gr | Thịt bò-150 gr | Đậu xanh-50 gr | Cà rốt-2 củ | Cải xanh-1 bó | Đậu hũ chien-3 lát | Hạt tiêu trắng-gia vị | Hành lá-gia vị,"Bước 1:Nấu 1 nồi cháo đậu xanh tùy theo số lượng người ăn. Cháo nấu càng nhuyễn càng ngon. | Bước 2:Thịt bò băm nhuyễn (có thể mua thịt bò băm sẵn ở siêu thị ), ướp gia vị, vo thành từng viên, mỗi viên kèm theo 1 hạt tiêu trắng. Vị cay nhẹ và mùi thơm của tiêu sẽ làm thịt bò viên ngon hơn. | - Cà rốt thái hạt lựu. | - Mỗi miếng đậu hũ cắt làm 8. | - Bắt chảo lên bếp, cho dầu ăn vào, khi dầu nóng cho hành củ vào khử, sau đó cho nấm đông cô xào sơ qua nêm gia vị nắm mì chính, ớt tươi. | Bước 3:Cháo chín cho cà rốt vào đun sôi khoảng 5 phút. Sau đó cho thịt bò viên, đậu hũ vào, chờ thêm 4 phút rồi cho thêm nấm đông cô vào. | Bước 4:Chờ cho nồi cháo sôi lại nêm gia vị cho vừa ăn. | Chúc cả nhà có bữa ăn ngon miệng nhé!"
Trứng cuộn hành tây chiên bơ,60 phút,4 người,Dễ,"Trứng gà-2 quả | Hành tây (thái hạt lựu)-1 củ | Bơ-1 thìa | Muối , tiêu-","Bước 1 : | -Quậy đều trứng với hành tây, muối & tiêu. | Bước 2 : | -Để lửa vừa. Cho bơ vào chảo. Đợi bơ vừa chảy hết thì cho trứng vào tráng. | Bước 3 : | -Đợi trứng se mặt thì cuộn trứng lại. Mình dùng đũa cuộn trứng. Bạn nào không quen thì có thể dùng thêm một cái thìa giữ trứng và lấy đũa để cuộn nhé | Bước 4 : | -Trứng chín bày ra đĩa, cắt thành khoanh nhỏ. Có thể rắc thêm muối & hạt tiêu. | Chúc các bạn ngon miệng !"
Sườn rim chua ngọt ngon mê ly cho bữa cơm nhà,60 phút,4 người,Dễ,"Sườn non-700 gr | Trứng gà-1 quả | Ớt sừng-10 gr | Hành tím-10 gr | Tỏi-10 gr | Tương ớt-1.5 muỗng canh | Tương cà-1.5 muỗng canh | Nước tương-5 muỗng cà phê | Giấm-2 muỗng cà phê | Bột bắp-2 muỗng canh | Dầu ăn-50 ml | Gia vị-Muối, đường, hạt nêm, bột ngọt, tiêu","1. Sơ chế nguyên liệu | Sơ chế sườn: Sử dụng muối hoặc chanh để chà xát mặt thịt của sườn heo. Sau đó, rửa sườn lại với nước sạch để loại bỏ muối hoặc chanh trên bề mặt, sau đó để ráo. Tiếp theo, chặt sườn thành các miếng nhỏ vừa ăn. | Trụng sườn: Chuẩn bị một thau hoặc nồi lớn, đổ nước sôi vào thau sao cho mặt sườn được ngập trong nước. Trụng sườn trong nước sôi khoảng 5 - 10 phút, sau đó vớt sườn ra và xả sạch bằng nước lạnh để loại bỏ cặn bẩn. | Rửa và để ráo: Xả sườn bằng nước sạch để loại bỏ bất kỳ tạp chất nào còn lại trên bề mặt. Sau đó, để sườn ráo trong một chỗ khô thoáng. | 2. Ướp và chiên sườn | Chuẩn bị gia vị: Trong một tô, trộn đều 1/3 muỗng cà phê muối, 2 muỗng cà phê hạt nêm, 1/3 muỗng cà phê bột ngọt, 1 muỗng cà phê nước tương, 1 muỗng canh đường, 1/3 muỗng cà phê tiêu xay, 5g tỏi băm và 10g hành tím băm. | Ướp sườn: Đặt sườn vào một tô và rắc đều gia vị đã chuẩn bị lên sườn. Đảo đều để sườn thấm đều gia vị. Ướp sườn trong khoảng 15 - 20 phút để gia vị thấm vào sườn đều. | Chuẩn bị hỗn hợp bột áo: Đập 1 quả trứng gà và tách lấy lòng trắng. Hòa lòng trắng trứng với 2 muỗng canh bột bắp. | Áo sườn bằng hỗn hợp bột áo: Cho hỗn hợp bột bắp và lòng trắng trứng vào tô chứa sườn. Trộn đều để bột áo phủ đều lên sườn. | Một gợi ý nhỏ: Ướp thịt với lòng trắng trứng gà và bột bắp giúp sườn khi chiên có màu vàng đẹp và trở nên giòn hơn. | Chiên sườn: Đặt một chảo lên bếp và đổ dầu ăn vào chảo. Chờ đến khi dầu ăn nóng, sau đó đặt phần sườn đã được áo bột vào chảo và chiên ở lửa vừa. Chiên sườn cho đến khi sườn chín vàng và cạnh sườn trở nên giòn. Sau đó, vớt sườn ra khỏi chảo để ráo dầu. | 3. Rim sườn | Đổ bớt dầu từ chảo, giữ lại một ít dầu và cho tỏi vào phi thơm. | Thêm 10g ớt sừng băm nhuyễn và toàn bộ phần sốt đã pha trước đó vào chảo. Tiếp theo, đổ 50ml nước lọc vào tô chứa nước sốt, tráng đều rồi đổ vào chảo. Đun nước sốt cho đến khi hỗn hợp sôi lên và hơi sánh lại. | Rim sườn ở lửa nhỏ trong khoảng 5 phút cho đến khi nước sốt sánh kẹo lại và sườn ngấm đều gia vị. Sau đó, tắt bếp. | Bày sườn ra đĩa và trang trí để tạo thành một món ăn đẹp mắt. | 4. Thành phẩm | Món sườn rim chua ngọt dễ thực hiện, với các nguyên liệu đơn giản và dễ tìm kiếm. Tuy nhiên, hương vị của nó lại vô cùng thơm ngon và hấp dẫn, tạo cảm giác thèm thuồng khiến bạn muốn ăn thêm. Mỗi miếng sườn thấm đầy hương vị, kết hợp với sốt chua chua, ngọt ngọt, tạo ra một cảm giác kích thích vị giác tuyệt vời khi ăn kèm cơm."
Canh cua mồng tơi ngon mát cho mùa hè,40 phút,4 người,Dễ,Cua đồng-300 gram | Rau mồng tơi-300 gram | Hành tím-2 củ | Dầu ăn-2 muỗng canh | Nước mắm-1 muỗng canh | Muối-Một ít,"1. Sơ chế của đồng | Đầu tiên, bắt đầu với 300 gram cua đồng, hãy sử dụng tay để tách bỏ mai và yếm, sau đó rửa cua một vài lần với nước cho sạch và để ráo. Đồng thời, lấy muỗng để gạch cua từ yếm cho vào một chén riêng. Tiếp theo, chuẩn bị máy xay sinh tố và đổ số cua đồng đã để ráo cùng 300ml nước lọc vào máy, sau đó xay nhuyễn hỗn hợp trong khoảng 3 phút ở mức vừa. | Khi thấy hỗn hợp đã nhuyễn, tắt máy và sử dụng rây để lọc phần xác cua, chỉ giữ lại nước riêu cua để sử dụng trong chế biến. | 2. Sơ chế nguyên liệu khác | Tiếp theo, với 300 gram rau mồng tơi, bạn hãy nhặt lấy các lá non và đồng thời loại bỏ những lá dập úng hoặc héo úa. | Sau đó, ngâm rau mồng tơi trong nước muối pha loãng trong khoảng 10 phút, sau đó rửa lại 1-2 lần với nước để làm sạch và để ráo. Sau đó, sử dụng dao để cắt rau thành khúc dài khoảng 1-2 phần ngón tay. | Cuối cùng, lột vỏ hành tím và băm nhuyễn nó. | 3. Xào gạch cua | Sau khi chuẩn bị xong nguyên liệu, hãy đặt một chảo lên bếp và thêm 1 muỗng canh dầu ăn, sau đó đun chảo với lửa vừa. Chờ đến khi dầu nóng, bạn hãy cho hành tím đã băm nhuyễn vào chảo và phi thơm trong khoảng 3 phút. | Tiếp theo, thêm chén gạch cua vào chảo và sử dụng sạn dẹt để xào đều trong khoảng 3-5 phút, cho đến khi thấy gạch cua trở nên hơi sánh và đặc. Khi đó, bạn có thể tắt bếp. | 4. Nấu canh | Khi vô tình chạm mắt, tô canh cua mồng tơi đã tỏa sáng với màu sắc bắt mắt từ riêu cua và sự tươi tốt của rau xanh, nhanh chóng thu hút mọi người! | Đặc biệt, riêu cua mềm mịn và ngọt ngào, kết hợp với hương vị tươi ngon của rau và nước dùng đậm đà, thực sự là một món ăn không thể thiếu trên bàn cơm!"
Thịt lợn mán tái chanh thơm ngon ngọt,60 phút,4 người,Dễ,Thịt lợn mán (Chọn phần thịt vai hoặc thịt đùi)-500gr | Gừng-1 nhánh | Sả-2 cây | Vừng trắng rang vàng-3 thìa | Dầu vừng-1 thìa | Chanh-1/2 quả | Đường-1 thìa | Bột canh-1 thìa | Chuối xanh-1 quả | Khế chua-1 quả | Ớt-Tuỳ thích | Giấm-2 thìa | Muối-1 thìa,"Gừng và 2 củ sả đập dập chia thành 2 phần, 1 củ sả còn lại băm nhỏ. | Chuối xanh lột vỏ, cắt lát mỏng, ngâm vào nước pha muối và giấm cho đỡ bị thâm rồi để ráo. Khế chua rửa sạch, cắt lát. Vừng rang vàng. | Thịt lợn rửa sạch, dùng dao cao sạch phần bì. Đun sôi nước, thả một phần gừng, sả vào rồi cho thịt vào trần trong khoảng 2-3 phút để loại bỏ các chất bẩn và mùi hôi của thịt, sau đó rửa sạch lại với nước. | Hấp thịt với chỗ gừng và sả còn lại cho tới khi chín (mất khoảng 10-15 phút sau khi nước sôi, các bạn dùng đũa châm không thấy nước đỏ chảy ra là thịt chín). Gắp thịt ra thả vào bát nước đá ngay cho thịt trắng và mềm. | Dùng dao sắc thái thịt lợn mán đã luộc thật mỏng, cho vào tô. | Vắt nửa quả chanh vào tô, thêm đường, muối, dầu vừng, 1/2 chỗ vừng rang, ớt thái nhỏ vào, dùng găng tay trộn đều. Sau khi trộn xong các bạn có thể nêm nếm lại gia vị cho vừa miệng rồi xếp thịt ra đĩa, rắc chỗ vừng còn lại lên trên là ta đã làm xong món thịt lợn mán tái chanh. Các bạn ăn thịt lợn mán tái chanh cùng với khế chua và chuối xanh không thôi cũng ngon, nếu thích, các bạn có thể chấm tương gừng ăn cũng siêu hợp vị nhé."
Xôi cốm dẻo thơm ngon khó chối từ,2 giờ 00 phút,4 người,Dễ,Cốm-300g | Đỗ xanh-100g | Dừa tươi-50g | Đường kính trắng-4 thìa cà phê | Dầu ăn-2 thìa,"Bước 1:Đậu xanh ngâm trong nước nóng 2h rồi đãi sạch, để ráo nước, trộn với 1/3 thìa cà phê muối để trong chiếc chén con. Nếu là đỗ xanh chưa bỏ vỏ thì bạn nên ngâm trước đó 3h rồi đãi sạch vỏ đi nhé. | Bước 2:Cho đỗ xanh vào nồi hấp và hấp cho đến khi chín. Nếu không có xoong hấp bạn có thể cho vào nồi cơm điện và nấu như cơm. Không nên cho nhiều nước, khi đỗ sôi sẽ trào nước ra nồi. | Khi đậu chín thì cho vào cối giã nhuyễn hoặc nghiền bằng thìa. | Bước 3:Trộn cốm với 2 thìa dầu ăn, rồi cho vào hấp. Khi hấp bạn nên cho lửa liu riu, đợi trong 5-7 phút là cốm chín. | Bước 4:Lấy cốm đã chín và trộn với 2 thìa đường trắng, rồi đem hấp lại trong 5 phút. | Bước 5:Dừa nạo thành sợi ướp với chỗ đường còn lại, để trong 20 phút. | Cho 1 chút dầu ăn vào chảo, để lửa nhỏ cho dừa tươi ướp đường vào xào cho săn lại. Bạn có thể nhận thấy dừa săn lại là khi đường cô lại, bám chặt vào từng sợi dừa, tuy nhiên bạn không nên để quá lửa để dừa bị cháy có màu vàng nhìn sẽ không đẹp mắt. | Bước 6:Đổ xôi ra một cái khay rộng rồi trộn đều xôi cốm với dừa và đậu xanh đã giã nhuyễn. | Để có hình thức bắt mắt bạn có thể trải lá sen hoặc lá chuối lót dưới đĩa hay mẹt nhỏ rồi hãy đổ xôi cốm lên. | Chúc bạn và gia đình thành công với cách nấu xôi cốm thơm ngon hấp dẫn này!"
Cuối tuần đổi gió với đùi vịt xốt cam cực ngon,60 phút,4 người,Dễ,"Đùi vịt-350g | Cam sành-150g | Cà rốt-200g | Su su-200g | Khoai tây-100g | Cà chua bi-50g | Ớt sừng-1 quả | Ngò rí băm nhuyễn-1 thìa cà phê | Bơ lạt-10g | Hành tỏi băm-1 thìa cà phê | Muối tiêu-1/2 thìa cà phe | Hạt nêm-1 thìa cà phê | Đường-1 thìa cà phê | Dầu hào-3 thìa súp | Dầu để chiên, nước dùng-","Bước 1 : | -Đùi vịt làm sạch, ướp muối, dầu hào, để thấm 15 phút | Bước 2 : | -Cam sành bổ đôi, vắt lấy nước cốt để riêng, xắt bỏ phần xơ múi, gọt vỏ bên ngoài, xắt sợi vỏ cam, luộc kỹ khoảng 2 lần cho bớt the | Bước 3 : | -Cà rốt, su su, khoai tây xắt miếng vừa ăn. Ớt sừng xắt sợi. Cà chua bi bổ đôi | Bước 4 : | -Chiên sơ đùi vịt sau đó cho vào nước dùng nấu chung với cà rốt, su su, khoai tây, vỏ cam, ớt sừng, cà chua bi, nêm đường, hạt nêm, nước mắm, hành băm vừa ăn. Khi nước sôi thì vặn nhỏ lửa, hầm khoảng 30 phút cho vịt mềm. | Bước 5 : | -Làm nước xốt cam: Làm tan chảy bơ, phi vàng tỏi băm, cho nước xốt cam vào đun nhỏ lửa, nêm muối tiêu vừa ăn. | Bước 6 : | -Cho đùi vịt, các loại rau củ ra đĩa sâu lòng, rưới nước xốt cam vào, rắc ngò rí băm nhuyễn lên. | Mách nhỏ | Để giảm bớt vị the trong vỏ cam sành bạn phải luộc lần một sau đó vớt ra vắt hết nước, cho một lượng nước khác vào luộc kỹ lại lần hai."
